date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:52	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Apr%202021%2018:28:52%20GMT	https://www.khetia.com/robots.txt		(from )
11:28:52	2157/2157	---M-Z	200	added ('OK')	text/html	etag:%22d3f6475cd4f6d61:0%22	https://www.khetia.com/	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/index.html	(from )
11:28:55	97892/97892	---M-Z	200	added ('OK')	application/javascript	etag:%22965fcfc23c3459afe3ebf42b92f31e6d+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/DANTEZ/platform.twitter.com/widgets.js	(from https://www.khetia.com/)
11:28:56	412891/412891	---MCZ	200	added ('OK')	text/css	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/styles.48c56c1302019446c68c.css	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/styles.48c56c1302019446c68c.css	(from https://www.khetia.com/)
11:28:57	9662/9662	---M--	200	added ('OK')	image/x-icon	etag:%22411589c0bcbfd41:0%22	https://www.khetia.com/assets/img/favicon.ico	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/assets/img/favicon.ico	(from https://www.khetia.com/)
11:28:58	1485/1485	---M-Z	200	added ('OK')	application/javascript	etag:%22e27a46647787d61:0%22	https://www.khetia.com/runtime-es2015.1eba213af0b233498d9d.js	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/runtime-es2015.1eba213af0b233498d9d.js	(from https://www.khetia.com/)
11:28:59	1485/1485	---M-Z	200	added ('OK')	application/javascript	etag:%22e27a46647787d61:0%22	https://www.khetia.com/runtime-es5.1eba213af0b233498d9d.js	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/runtime-es5.1eba213af0b233498d9d.js	(from https://www.khetia.com/)
11:29:00	133013/133013	---M-Z	200	added ('OK')	application/javascript	etag:%22fa2ea2667787d61:0%22	https://www.khetia.com/polyfills-es5.4c983648ec72aeedac63.js	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/polyfills-es5.4c983648ec72aeedac63.js	(from https://www.khetia.com/)
11:29:01	37670/37670	---M-Z	200	added ('OK')	application/javascript	etag:%2286b961647787d61:0%22	https://www.khetia.com/polyfills-es2015.b5a2dd43a2a23dac4f3f.js	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/polyfills-es2015.b5a2dd43a2a23dac4f3f.js	(from https://www.khetia.com/)
11:29:04	343828/343828	---MCZ	200	added ('OK')	application/javascript	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/scripts.8df2d34935c75ef52214.js	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/scripts.8df2d34935c75ef52214.js	(from https://www.khetia.com/)
11:29:05	993486/993486	---MCZ	200	added ('OK')	application/javascript	etag:%22c46b6157d4f6d61:0%22	https://www.khetia.com/main-es2015.d991ca052d6541c15de7.js	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/main-es2015.d991ca052d6541c15de7.js	(from https://www.khetia.com/)
11:29:11	1091597/1091597	---MCZ	200	added ('OK')	application/javascript	etag:%22c0e66b56d4f6d61:0%22	https://www.khetia.com/main-es5.d991ca052d6541c15de7.js	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/main-es5.d991ca052d6541c15de7.js	(from https://www.khetia.com/)
11:29:13	537868/537868	---M--	200	added ('OK')	font/x-woff2	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/icofont.9c33516aab48c61e3081.woff2	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/icofont.9c33516aab48c61e3081.woff2	(from https://www.khetia.com/styles.48c56c1302019446c68c.css)
11:29:15	645604/645604	---M--	200	added ('OK')	font/x-woff	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/icofont.dad3accba068281878f1.woff	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/icofont.dad3accba068281878f1.woff	(from https://www.khetia.com/styles.48c56c1302019446c68c.css)
11:29:16	263296/263296	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/boxicons.691d0bb604ad736b6554.eot	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/boxicons.691d0bb604ad736b6554.eot	(from https://www.khetia.com/styles.48c56c1302019446c68c.css)
11:29:18	89924/89924	---M--	200	added ('OK')	font/x-woff2	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/boxicons.4d841f88f087a9fafd78.woff2	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/boxicons.4d841f88f087a9fafd78.woff2	(from https://www.khetia.com/styles.48c56c1302019446c68c.css)
11:29:19	263204/263204	---M--	200	added ('OK')	font/x-woff	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/boxicons.83ea8051293b9698c379.woff	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/boxicons.83ea8051293b9698c379.woff	(from https://www.khetia.com/styles.48c56c1302019446c68c.css)
11:29:26	263128/263128	---M--	200	added ('OK')	application/octet-stream	etag:%22e4c744fd4f6d61:0%22	https://www.khetia.com/boxicons.3ba326c0f3cbdc18538d.ttf	C:/My%20Web%20Sites/DANTEZ/www.khetia.com/boxicons.3ba326c0f3cbdc18538d.ttf	(from https://www.khetia.com/styles.48c56c1302019446c68c.css)
